"date_received","sender_name","sender_domain","subject","aol_inbox_percent","aol_spam_percent","aol_read_rate","aol_read_delete_rate","aol_delete_rate","google_inbox_percent","google_spam_percent","google_read_rate","google_read_delete_rate","google_delete_rate","yahoo_inbox_percent","yahoo_spam_percent","yahoo_read_rate","yahoo_read_delete_rate","yahoo_delete_rate","outlook_inbox_percent","outlook_spam_percent","outlook_read_rate","outlook_read_delete_rate","outlook_delete_rate","actual_aol_volume","actual_google_volume","actual_yahoo_volume","actual_outlook_volume","actual_overall_volume","90_day_average_panel_size","overall_volume","overall_inbox_placement","read_rate","read_delete_rate","delete_rate","image_link","email_link","source","link_count","broken_link_count","redirect_count","bad_redirect_count","esp_names","company_name","company_address1","company_address2","company_city","company_state","company_zip","company_phone","company_fax","mta_ips"
"03/02/2016","no-reply@corporatesolutions.corporate-ir.com","corporatesolutions.corporate-ir.com","[REDACTED] End-Of-Day Quote Alert","100.00","0.00","","","","92.42","7.58","4.92","3.28","24.59","88.89","11.11","12.50","12.50","6.25","100.00","0.00","","","","2","66","18","3","89","859166","253805","92.13","3.66","2.44","10.98","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/908c8658-8e6f-4de0-a443-041c4a90e0cd.jpg","http://app.emailanalyst.com/rest/secure/email/body/908c8658-8e6f-4de0-a443-041c4a90e0cd","seed+panel","1","0","0","0","","Thomson Reuters","3 Times Square","","New York","NY","10036","(646) 223-4000","","118.67.248.215|208.92.176.200|208.92.178.200"
"03/02/2016","miamiherald_news@miamiherald.com","miamiherald.com","Afternoon Update","100.00","0.00","","","","94.44","5.56","23.53","17.65","50.98","100.00","0.00","16.67","16.67","16.67","","","","","","9","54","6","0","69","859166","196770","95.65","13.64","10.61","18.18","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/c0963ea7-d0bb-4730-bdc3-da98fd8dc0df.jpg","http://app.emailanalyst.com/rest/secure/email/body/c0963ea7-d0bb-4730-bdc3-da98fd8dc0df","seed+panel","30","6","23","4","Salesforce Marketing Cloud","The McClatchy Company","2100 Q Street","","Sacramento","CA","95816","(916) 321-1855","(916) 321-1964","66.231.83.26|136.243.65.157"
"03/02/2016","info@conservativepost.com","conservativepost.com","[REDACTED] Daily [REDACTED] From Conservative Post","","","","","","92.19","7.81","1.69","1.69","42.37","100.00","0.00","","","","","","","","","0","64","4","0","68","859166","193918","92.65","1.59","1.59","12.70","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/bc73dfa5-ba1d-4085-b6d7-89866c2c5ffb.jpg","http://app.emailanalyst.com/rest/secure/email/body/bc73dfa5-ba1d-4085-b6d7-89866c2c5ffb","seed+panel","10","0","0","0","MailChimp","Conservative Post","N Harwood Street","","Dallas","TX","75210","","","205.201.133.216|198.2.130.94|198.2.183.47|205.201.128.57|198.2.131.202|205.201.133.210|205.201.131.65|198.2.129.90|205.201.131.48"
"03/02/2016","miamiherald_news@miamiherald.com","miamiherald.com","College Sports Report","100.00","0.00","","","","100.00","0.00","44.44","33.33","44.44","100.00","0.00","","","","","","","","","3","9","3","0","15","859166","42776","100.00","13.33","6.67","13.33","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/83e45f68-90b7-47f9-97e0-8be820c9325b.jpg","http://app.emailanalyst.com/rest/secure/email/body/83e45f68-90b7-47f9-97e0-8be820c9325b","seed+panel","37","11","22","9","Salesforce Marketing Cloud","The McClatchy Company","2100 Q Street","","Sacramento","CA","95816","(916) 321-1855","(916) 321-1964","66.231.83.26"
"03/02/2016","access@interactive.wsj.com","interactive.wsj.com","Today's Heard on the Street Rundown","100.00","0.00","0.00","0.00","100.00","100.00","0.00","22.22","18.52","14.81","","","","","","","","","","","1","27","0","0","28","859166","79848","100.00","10.71","7.14","10.71","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/1dffd597-b4b2-4a83-91f0-72ac2a44daed.jpg","http://app.emailanalyst.com/rest/secure/email/body/1dffd597-b4b2-4a83-91f0-72ac2a44daed","seed+panel","36","0","18","0","","News Corporation","1211 Avenue of the Americas","4th Floor","New York","NY","10036","(212) 416-3400","","205.203.100.35|205.203.100.34"
"03/02/2016","ccannon@realclearpolitics.com","realclearpolitics.com","RCP Morning [REDACTED] for [REDACTED]","","","","","","88.46","11.54","13.04","0.00","56.52","100.00","0.00","","","","","","","","","0","26","3","0","29","859166","82700","89.66","3.85","0.00","15.38","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/a9a34ce8-9548-4cb7-88a2-af9cad319890.jpg","http://app.emailanalyst.com/rest/secure/email/body/a9a34ce8-9548-4cb7-88a2-af9cad319890","seed+panel","20","0","4","0","MailChimp","RealClearPolitics","6160 N Cicero Ave, Suite 410","","Chicago","IL","60646","","","198.2.190.251|198.2.183.88|198.2.182.100|198.2.190.95|198.2.181.28|198.2.190.35|198.2.181.68|198.2.190.146|198.2.181.26|205.201.135.205"
"03/02/2016","miamiherald_news@miamiherald.com","miamiherald.com","Miami Herald - [REDACTED]","","","","","","86.67","13.33","12.82","10.26","56.41","","","","","","","","","","","0","45","0","0","45","859166","128328","86.67","7.69","5.13","23.08","https://s3.amazonaws.com/eds-image.s3.aws.edatasource.com/0d89ab95-c850-4f9b-a01a-7ac050101a43.jpg","http://app.emailanalyst.com/rest/secure/email/body/0d89ab95-c850-4f9b-a01a-7ac050101a43","seed+panel","42","8","22","6","Salesforce Marketing Cloud","The McClatchy Company","2100 Q Street","","Sacramento","CA","95816","(916) 321-1855","(916) 321-1964","66.231.83.26|200.27.104.38"
"03/02/2016","nytdirect@nytimes.com","nytimes.com","My Alerts: [REDACTED] (1 article)","100.00","0.00","8.33","8.33","0.00","73.72","26.28","25.46","3.70","11.57","100.00","0.00","12.50","0.00","31.25","100.00","0.00","0.00","0.00","59.26","24","293","16","27","360","859166","1026629","78.61","4.95","2.12","3.53","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/86a3c5c3-6a34-466d-91d0-665ef77e2868.jpg",,"panel","0","0","0","0","","The New York Times Company","620 8th Avenue","","New York","NY","10018","(212) 556-1234","","170.149.168.74|128.230.12.71"
"03/02/2016","e-mail@economist.com","economist.com","[REDACTED] from The Economist","","","","","","100.00","0.00","20.00","0.00","70.00","100.00","0.00","","","","","","","","","0","10","1","0","11","859166","31369","100.00","18.18","0.00","63.64","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/71b22d80-20fc-4f64-ba9f-2710f631fc27.jpg",,"panel","0","0","0","0","SailThru","The Economist Newspaper Limited","25 St. James's Street","","London","","SW1A 1HG","+44 (0) 20 7830 7000","+44 (0) 20 7839 2968","173.228.155.174|173.228.155.173|173.228.155.90|173.228.155.180|173.228.155.149|204.153.121.10"
"03/02/2016","access@interactive.wsj.com","interactive.wsj.com","Biggest Gainers: [REDACTED] Snapshot","100.00","0.00","","","","80.56","19.44","0.00","0.00","24.14","0.00","100.00","","","","","","","","","6","36","5","0","47","859166","134032","74.47","0.00","0.00","5.71","https://s3.amazonaws.com/panel-public-image.s3.aws.edatasource.com/32191d80-6a39-4d7c-bcaa-8b0710ebd010.jpg",,"panel","0","0","0","0","","News Corporation","1211 Avenue of the Americas","4th Floor","New York","NY","10036","(212) 416-3400","","205.203.100.37|205.203.100.47|205.203.100.36|205.203.100.46"
